PKANCODE,COMMUNE_NL,STREET_NL,HUISNR,LAT,LON
9200,Dendermonde,Hagewijkpark,69,51.0513209375,4.10334265433
9200,Dendermonde,Klinkaertstraat,17,51.0004537822,4.02050804207
9200,Dendermonde,Jozef De Troetselstraat,41,50.9966232797,4.01407709305
9200,Dendermonde,Begijnhof,43,51.0274448724,4.09858216091
9200,Dendermonde,Zwarte Beekstraat,20,51.0298797929,4.16852106657
9200,Dendermonde,Sint-Rochusstraat,9,51.0277912952,4.09802581581
9200,Dendermonde,Beukenlaan,39,51.0299128397,4.11659167168
9200,Dendermonde,Vlassenbroek,89,51.0481967251,4.13032002785
9200,Dendermonde,Reynoutstraat,40,51.0471221587,4.09928797658
9200,Dendermonde,Kerkstraat,87,51.0313658807,4.09440128368
9200,Dendermonde,Sint-Ursmarusstraat,118,51.0357770849,4.16658937841
9200,Dendermonde,Burgemeester Potiaulaan,58,51.0207449012,4.11313129943
9200,Dendermonde,Lindestraat,15,51.0266076196,4.06337063081
9200,Dendermonde,Mevrouw Courtmanspark,76,51.0055848881,4.0576104175
9200,Dendermonde,Ouburg,48,51.0052951904,4.06039174497
9200,Dendermonde,Ros Beiaardstraat,32,51.0354718422,4.08644471957
9200,Dendermonde,Donckstraat,116,51.0360607739,4.08725980633
9200,Dendermonde,De Dammenlaan,133,51.036845095,4.07960887103
9200,Dendermonde,Noordlaan,18,51.0335557081,4.09979311353
9200,Dendermonde,Zijpestraat,52,51.0054364907,4.06325543304
9200,Dendermonde,Hoofdstraat,187,51.0316759989,4.04279396007
9200,Dendermonde,Mandekensstraat,260,51.023127136,4.15743145045
9200,Dendermonde,Hof ter Bremptstraat,50,51.0354990063,4.09249352975
9200,Dendermonde,Greffelinck,6B,51.0294782407,4.0967598063
9200,Dendermonde,Hof ten Rode,49,51.0291560956,4.17055330938
9200,Dendermonde,Sint-Jacobstraat,47,51.0300025696,4.10532032547
9200,Dendermonde,Hoge Weg,16,51.0193470942,4.117822037
9200,Dendermonde,Rosstraat,156,51.0291727893,4.15827250997
9200,Dendermonde,Koebosstraat,10,51.0305159963,4.06389630308
9200,Dendermonde,Begijnhoflaan,68,51.0278204993,4.09591300975
9200,Dendermonde,Brusselsestraat,76,51.0268613581,4.10038024761
9200,Dendermonde,Baleunisstraat,28,51.0244645037,4.11467634953
9200,Dendermonde,Emiel Van Winckellaan,49,51.0305431191,4.09541208079
9200,Dendermonde,Kloosterstraat,40,51.0350172142,4.16282493998
9200,Dendermonde,Veldstraat,25,51.0188631741,4.11683385055
9200,Dendermonde,Leopold II-laan,69,51.0302448594,4.10545666998
9200,Dendermonde,Hemelstraat,157,51.022435072,4.10453669638
9200,Dendermonde,Kasteelstraat,22,51.0327477283,4.10374903697
9200,Dendermonde,Bakkerstraat,245,51.0581142244,4.09640835388
9200,Dendermonde,Vrankrijkstraat,52,50.9972992324,4.01960636261
9200,Dendermonde,Zevenhoevenstraat,15,51.0380054295,4.14549948436
9200,Dendermonde,Gentsesteenweg,141,51.0316085121,4.08378421363
9200,Dendermonde,Karel Eeckhoutstraat,12,51.0417623069,4.1063277062
9200,Dendermonde,Gaverstraat,43,51.0568803979,4.10881708439
9200,Dendermonde,Hamsesteenweg,70,51.0620276691,4.10902364863
9200,Dendermonde,Kwintijnpoort,34,51.0348494757,4.09230945229
9200,Dendermonde,Vlotgraslaan,34,51.0349718062,4.08253559051
9200,Dendermonde,Ouburg,66,51.0041725116,4.05993651191
9200,Dendermonde,Scheutlagestraat,52,50.9927911038,4.06729031934
9200,Dendermonde,Vrankrijkstraat,98A,50.9959565182,4.02462165733
9200,Dendermonde,Mevrouw Courtmanspark,58,51.006387672,4.05810761946
9200,Dendermonde,Gasthuisstraat,156,51.0203962089,4.08362067763
9200,Dendermonde,Sint-Jorisgilde,53,51.0286293516,4.09588079715
9200,Dendermonde,Dijkstraat,29,51.0306551361,4.10055185906
9200,Dendermonde,Burgemeester Potiaulaan,76,51.0211384889,4.11360931715
9200,Dendermonde,Warmen Haard,15,51.0191494218,4.08552515426
9200,Dendermonde,Spoorwegstraat,1,51.0217661678,4.1182547862
9200,Dendermonde,Gentsesteenweg,303,51.0304107201,4.07307716905
9200,Dendermonde,Theodoor Vermylenstraat,10,51.0332943092,4.17088740445
9200,Dendermonde,Groeneweg,51,51.0600695381,4.10173736679
9200,Dendermonde,Bakkerstraat,263,51.0600834019,4.0951081528
9200,Dendermonde,Singelweg,25,50.9942375697,4.06966166098
9200,Dendermonde,Hullekenstraat,170,51.0279025785,4.12077600278
9200,Dendermonde,Botermelkstraat,6,51.017999581,4.08939093449
9200,Dendermonde,Noordlaan,36,51.0335561146,4.09886831816
9200,Dendermonde,Oude baan,105,51.0140447292,4.06673260457
9200,Dendermonde,Ros Beiaardstraat,14,51.0346705679,4.08671228571
9200,Dendermonde,Oliestraat,4,51.0158165667,4.09665852815
9200,Dendermonde,Oude Molenstraat,74,51.0603931465,4.11154434942
9200,Dendermonde,Kier,17,51.0353646289,4.1656228446
9200,Dendermonde,Volkaertwegel,19B,51.0458815466,4.11037286321
9200,Dendermonde,Korte Dijkstraat,93,51.0307679519,4.12112836936
9200,Dendermonde,Kleinzand,21,51.0486441517,4.0990005824
9200,Dendermonde,Smidsestraat,94,51.0573438068,4.11595417231
9200,Dendermonde,Schoonaardebaan,92,51.0059763841,4.01823430209
9200,Dendermonde,Denderbellestraat,21,51.0161422029,4.09629082317
9200,Dendermonde,Steenweg van Aalst,5,51.0305110345,4.07157247195
9200,Dendermonde,Grootzand,41,51.0470222993,4.10753365286
9200,Dendermonde,Dorpsplein,3,51.0357755304,4.16463934919
9200,Dendermonde,Hof ten Rode,67,51.0287098635,4.16963491601
9200,Dendermonde,Torrestraat,2,51.0197806009,4.12344992974
9200,Dendermonde,Rootjensweg,7,51.0554955238,4.10302593932
9200,Dendermonde,Onze-Lieve-Vrouwstraat,22,51.0108913625,4.05760973095
9200,Dendermonde,Nieuwstraat,81,50.9987711657,4.0090053925
9200,Dendermonde,Pastoor Claeysstraat,48,51.0212037393,4.11636436492
9200,Dendermonde,Serwouterstraat,22,51.0194954861,4.12036376595
9200,Dendermonde,Lambroeckstraat,1,51.0088991165,4.06073369391
9200,Dendermonde,Resedalaan,57,51.0132854399,4.11121267754
9200,Dendermonde,Schuiteplasstraat,33,50.9945322554,4.01981596071
9200,Dendermonde,Tulpenlaan,2,51.014877267,4.11213692217
9200,Dendermonde,Mandekensstraat,242,51.0234859735,4.15788080122
9200,Dendermonde,Bakkerstraat,21,51.0435878241,4.10348263726
9200,Dendermonde,Oude baan,87,51.0133190885,4.06566624565
9200,Dendermonde,Constabelstraat,64,51.0075245548,4.02340169023
9200,Dendermonde,Brukkelen,4,50.9962833917,3.99935192827
9200,Dendermonde,Bijlokestraat,7,51.0367003375,4.08455525446
9200,Dendermonde,Baasrodestraat,223,51.0390333639,4.14533020559
9200,Dendermonde,Stuifstraat,35,51.0245208859,4.05041064065
9200,Dendermonde,Dokter Haekstraat,27,51.0523959909,4.10642711247
9200,Dendermonde,Mevrouw Courtmansstraat,17,51.0075485883,4.06142361861
9200,Dendermonde,Lindestraat,33,51.0251369381,4.06251301347
9200,Dendermonde,Molenberg,7,51.0316493243,4.16659074665
9200,Dendermonde,Heidepark,63,51.0277340143,4.06049005138
9200,Dendermonde,Sint-Ursmarusstraat,136,51.0356337453,4.16761091675
9200,Dendermonde,Nederstraat,40,51.0107364531,4.06119884422
9200,Dendermonde,Baasrodestraat,80,51.0387977644,4.15223559956
9200,Dendermonde,Pijnderslaan,47,51.0324402267,4.11475735307
