COMMUNE_NL,COMMUNE_FR,COMMUNE_DE,PKANCODE,STREET_NL,STREET_FR,STREET_DE,HUISNR,LAT,LON
Lille,,,2275,Pulsebaan,,,56,51.2595170081,4.78354451908
Lille,,,2275,Blommerschotsebaan,,,20,51.2666686338,4.77866959751
Lille,,,2275,De Weverkens,,,14,51.2552510191,4.7681850463
Lille,,,2275,Veenzijde,,,27,51.2626111251,4.86448714064
Lille,,,2275,Borgstraat,,,6,51.2588176353,4.78527778537
Lille,,,2275,Het Laar,,,6,51.2860551665,4.86064140692
Lille,,,2275,Pastorijstraat,,,35,,
Lille,,,2275,Heikant,,,35,51.2297921601,4.83077006567
Lille,,,2275,De Nieuwe Wijngaard,,,20,51.227907044,4.84440883569
Lille,,,2275,Kapelstraat,,,64,51.2472598676,4.8259880725
Lille,,,2275,Vlimmersebaan,,,13,51.2644362289,4.78602897886
Lille,,,2275,Poederleese weg,,,19,51.237332608,4.82587765489
Lille,,,2275,Rechtestraat,,,38,51.2398889647,4.82372851035
Lille,,,2275,Vlimmersebaan,,,88,51.2698535171,4.78658797435
Lille,,,2275,Koolmeesweg,,,17,51.2765338995,4.79385315403
Lille,,,2275,Oostmalsebaan,,,201,,
Lille,,,2275,Lindenlaan,,,33,51.2646158452,4.78984657103
Lille,,,2275,Pastorijstraat,,,101,51.2686173927,4.79922162638
Lille,,,2275,Molenpad,,,82,51.2765074317,4.86876695203
Lille,,,2275,Tuinwijk,,,18,51.234197083,4.83283114652
Lille,,,2275,Heerle,,,62,51.2176898068,4.87332126855
Lille,,,2275,Eekhoornweg,,,16,51.2756492182,4.79098344015
Lille,,,2275,De Schrans,,,5,51.2372035155,4.81996883783
Lille,,,2275,Vierde Bosdreef,,,7,51.2740848711,4.80345871358
Lille,,,2275,Zittaart,,,3,51.2227354993,4.81094270066
Lille,,,2275,Violetlaan,,,13,51.2721858701,4.87340605303
Lille,,,2275,Vennestraat,,,82,51.2621843659,4.87245574566
Lille,,,2275,Heikant,,,19,51.2302943513,4.83173339285
Lille,,,2275,De Schrans,,,30,51.2351798894,4.82035699353
Lille,,,2275,Zittaart,,,24,51.2181602819,4.80579018857
Lille,,,2275,Voetbalstraat,,,8,51.2617190602,4.79346546469
Lille,,,2275,Wechelsebaan,,,109,51.2502497447,4.8165903452
Lille,,,2275,Dorp,,,88,51.2299799489,4.83422145338
Lille,,,2275,Boskapelstraat,,,62,51.2336607261,4.82160519665
Lille,,,2275,Zand,,,12,51.268673198,4.80030936687
Lille,,,2275,Beulkbeemden,,,25,51.2625391852,4.77539617454
Lille,,,2275,Singel,,,16,51.2681753572,4.8670648976
Lille,,,2275,Blasvenpad,,,5,51.2652583211,4.79551218302
Lille,,,2275,Heiend,,,89,51.2337871158,4.818025333
Lille,,,2275,Duivenstraat,,,10,51.2487815242,4.8191089343
Lille,,,2275,Beerseheide,,,12,51.294093622,4.8447815789
Lille,,,2275,Fazantestraat,,,13,51.2468497724,4.82655575782
Lille,,,2275,Wespedongen,,,26,51.2376244136,4.8681970429
Lille,,,2275,Schoolstraat,,,34,51.2690164106,4.86413372315
Lille,,,2275,Broekzijstraat,,,102,51.2454430969,4.8062243183
Lille,,,2275,Eikenlaan,,,62,51.2386572996,4.83135723413
Lille,,,2275,Molenpad,,,54,51.2741533481,4.86915477631
Lille,,,2275,Houtakkerstraat,,,24,51.2709263412,4.86544424608
Lille,,,2275,Konijnenpad,,,54,51.2889037348,4.84655049395
Lille,,,2275,Duivenstraat,,,19,51.2501067714,4.81845089565
